open,close,low,high,volume
69843.39,69856.29,69764.62,69832.26,148.41977
69832.25,69850.01,69780.28,69791.28,22.38139
69791.29,69791.29,69653.63,69658.92,38.12385
69658.92,69668.88,69503.32,69541.58,185.16551
69541.59,69608.0,69500.67,69519.99,118.4452
69520.0,69672.81,69510.28,69650.56,225.11807
69650.55,69744.88,69639.05,69641.92,215.32885
69641.92,69696.47,69641.91,69648.29,71.01997
69648.28,69745.45,69648.28,69725.01,40.98644
69725.02,69771.48,69605.83,69641.62,42.3302
69641.62,69647.55,69590.83,69629.56,38.25576
69629.56,69641.65,69561.96,69610.99,74.59026
69610.98,69610.98,69515.2,69540.43,23.08532
69540.44,69574.2,69500.0,69503.53,24.10868
69503.54,69633.83,69500.0,69570.47,38.51276
69570.48,69786.32,69510.39,69641.64,71.11443
69641.64,69700.0,69632.48,69672.71,45.04462
69672.71,69684.38,69571.39,69582.88,11.59913
69582.87,69615.52,69501.21,69535.85,21.81813
69535.85,69695.01,69533.27,69662.24,241.11292
69662.24,69662.24,69549.74,69572.76,21.7779
69572.75,69664.8,69557.18,69658.8,16.64162
69658.79,69658.8,69538.41,69538.42,26.89868
69538.42,69653.71,69538.42,69580.0,50.40537
69580.01,69664.37,69567.86,69567.94,211.52991
69567.94,69630.74,69531.57,69531.57,130.26882
69531.57,69581.43,69503.11,69521.01,18.92447
69521.0,69558.81,69384.5,69536.27,258.92852
69536.27,69636.31,69518.22,69553.75,103.5998
69553.75,69752.06,69544.0,69664.47,51.86544
69664.48,69669.25,69582.86,69613.01,13.44147
69613.02,69628.24,69397.97,69466.75,34.77452
69466.75,69509.25,69413.51,69490.49,25.23749
69490.48,69528.0,69390.91,69496.26,49.40564
69496.25,69502.66,69421.32,69502.63,45.22449
69502.63,69597.9,69483.23,69514.88,31.5127
69514.88,69530.95,69425.12,69527.3,187.57828
69527.3,69527.31,69441.98,69500.0,90.52636
69499.99,69538.42,69476.9,69511.24,34.17721
69511.24,69572.62,69495.11,69495.21,165.02037
69495.2,69726.45,69495.2,69683.21,61.65049
69683.21,69703.19,69592.48,69600.48,27.1714
69600.48,69626.56,69576.79,69618.1,234.12913
69618.09,69635.86,69585.69,69604.9,76.71041
69604.9,69755.1,69538.45,69616.0,187.65358
69616.0,69676.89,69539.09,69646.12,213.58071
69646.11,69660.01,69535.05,69595.68,54.04312
69595.69,69647.95,69557.06,69570.19,75.25245
69570.2,69572.46,69489.1,69523.38,21.26061
69523.37,69528.58,69417.37,69447.45,34.16398
69447.45,69549.34,69447.44,69524.98,19.20825
69524.99,69553.69,69456.39,69474.09,26.35518
69474.1,69493.02,69391.36,69446.96,21.922
69446.96,69469.86,69403.79,69431.51,38.88684
69431.51,69506.0,69281.35,69324.65,120.63603
69324.64,69338.12,69150.28,69173.0,85.80979
69172.99,69256.0,69089.0,69089.63,106.25992
69089.63,69102.57,68977.91,69030.02,131.78847
69030.02,69215.83,69020.55,69152.82,57.05219
69152.82,69226.56,69152.82,69201.08,34.30144
69201.07,69417.05,69159.73,69402.0,61.03105
69403.07,69447.26,69360.0,69427.3,36.98972
69427.3,69777.66,69231.16,69277.24,305.12511
69277.69,69370.76,69240.01,69339.84,84.14173
69339.84,69387.61,69179.66,69251.26,63.2019
69251.27,69312.86,69152.57,69312.86,63.17411
69312.85,69352.03,69238.41,69352.02,48.11943
69352.02,69399.98,69333.94,69361.13,54.45562
69361.13,69379.66,69331.04,69352.68,226.88324
69352.68,69478.4,69352.67,69447.17,63.28879
69447.18,69978.99,69447.17,69860.64,178.29039
69860.64,70080.71,69804.07,70079.99,177.34885
70079.99,70378.78,70073.76,70263.85,224.60516
70263.86,70309.0,70142.85,70219.78,109.10257
70219.79,70747.73,70204.0,70727.61,371.08037
70727.61,71091.18,70586.67,71003.33,377.34366
71003.33,71089.75,70442.0,70442.0,279.6813
